ID,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Sales,risk,profit,riskNorm,profitNorm,R-score
1339,30,Yes,Travel_Rarely,Sales,9,3,Medical,2,Male,3,1,Sales Representative,4,Single,1081,1,No,13,3,3,0,1,3,2,1,0,0,0,270875,0.60539,20.8815,0.6172,1,0.6172
1154,18,Yes,Travel_Frequently,Sales,3,2,Medical,2,Female,3,1,Sales Representative,4,Single,1569,1,Yes,12,3,3,0,0,2,4,0,0,0,0,272616,0.86655,14.4793,0.88344,0.6934,0.61258
1017,31,Yes,Travel_Rarely,Sales,8,3,Life Sciences,1,Female,2,1,Sales Representative,2,Single,1261,1,No,12,3,3,0,1,3,4,1,0,0,0,198506,0.8334,13.1183,0.84965,0.62823,0.53377
1223,24,Yes,Travel_Rarely,Sales,22,1,Human Resources,4,Male,1,1,Sales Representative,3,Married,1555,1,No,11,3,3,1,1,2,3,1,0,0,0,266004,0.70562,14.2553,0.71938,0.68268,0.4911
1333,29,Yes,Travel_Frequently,Sales,24,2,Life Sciences,4,Male,2,1,Sales Representative,4,Single,2439,1,Yes,24,4,2,0,1,3,2,1,0,1,0,299199,0.97099,10.2227,0.98993,0.48956,0.48463
541,28,Yes,Travel_Rarely,Sales,1,2,Life Sciences,1,Female,1,1,Sales Representative,2,Single,2216,7,Yes,13,3,4,0,10,4,3,7,7,3,7,287388,0.90823,10.8073,0.92594,0.51755,0.47922
1314,29,Yes,Travel_Rarely,Sales,13,3,Human Resources,1,Male,2,1,Sales Representative,1,Divorced,2335,4,Yes,15,3,4,3,4,3,3,2,2,2,0,283047,0.96385,10.1016,0.98264,0.48376,0.47536
799,33,Yes,Travel_Rarely,Sales,25,3,Medical,1,Male,2,1,Sales Representative,2,Single,2313,4,Yes,20,4,2,0,5,0,3,2,2,2,2,271764,0.95314,9.7912,0.97173,0.46889,0.45564
1137,28,Yes,Travel_Rarely,Sales,24,3,Medical,3,Male,3,1,Sales Representative,2,Married,2408,1,Yes,17,3,3,3,1,3,3,1,1,0,0,288180,0.90476,9.973,0.9224,0.4776,0.44054
128,19,Yes,Travel_Rarely,Sales,22,1,Marketing,4,Male,3,1,Sales Representative,3,Single,1675,1,Yes,19,3,4,0,0,2,2,0,0,0,0,188533,0.94409,9.3798,0.9625,0.44919,0.43234
721,30,Yes,Travel_Rarely,Sales,22,3,Life Sciences,1,Female,3,1,Sales Representative,3,Married,2132,4,Yes,11,3,2,0,7,2,3,5,2,0,1,242670,0.92419,9.4852,0.94222,0.45424,0.42799
178,19,Yes,Travel_Rarely,Sales,2,3,Life Sciences,2,Male,2,1,Sales Representative,4,Single,1102,1,No,22,4,3,0,1,3,2,1,0,1,0,248371,0.45439,18.7818,0.46325,0.89945,0.41667
1366,29,Yes,Travel_Frequently,Sales,24,3,Technical Degree,3,Male,4,1,Sales Representative,1,Single,1091,1,No,17,3,4,0,1,3,3,1,0,0,0,116847,0.92928,8.9251,0.9474,0.42741,0.40493
1263,43,Yes,Travel_Frequently,Sales,17,3,Technical Degree,3,Male,2,1,Sales Representative,3,Married,2437,9,Yes,16,3,4,1,6,4,3,1,0,0,0,276349,0.87611,9.4498,0.8932,0.45254,0.40421
586,23,Yes,Travel_Rarely,Sales,6,3,Life Sciences,3,Male,4,1,Sales Representative,1,Married,1601,1,Yes,21,4,3,2,1,2,3,0,0,0,0,202942,0.75682,10.5633,0.77157,0.50587,0.39031
101,37,Yes,Travel_Rarely,Sales,6,4,Human Resources,3,Male,3,1,Sales Representative,1,Divorced,2073,4,Yes,22,4,4,0,7,3,3,3,2,0,2,230237,0.86285,9.2554,0.87967,0.44323,0.3899
661,58,Yes,Travel_Frequently,Sales,2,1,Life Sciences,4,Male,2,1,Sales Representative,4,Divorced,2380,9,Yes,14,3,4,1,3,3,2,1,0,0,0,224587,0.95041,7.8637,0.96894,0.37659,0.36489
712,29,Yes,Travel_Rarely,Sales,10,3,Life Sciences,4,Female,2,1,Sales Representative,1,Single,2404,6,Yes,20,4,3,0,3,5,3,0,0,0,0,249280,0.82161,8.6412,0.83763,0.41382,0.34663
1354,34,Yes,Non-Travel,Sales,16,4,Technical Degree,4,Male,1,1,Sales Representative,1,Married,2307,1,Yes,23,4,2,1,5,2,3,5,2,3,0,260955,0.7522,9.4262,0.76687,0.45141,0.34617
684,25,Yes,Travel_Rarely,Sales,19,2,Marketing,3,Male,2,1,Sales Representative,2,Married,2413,1,Yes,18,3,3,3,1,2,3,1,0,0,0,224068,0.91419,7.7382,0.93201,0.37058,0.34538
454,26,Yes,Travel_Frequently,Sales,17,4,Life Sciences,2,Female,3,1,Sales Representative,3,Divorced,2741,0,Yes,11,3,2,1,8,2,2,7,7,1,0,272087,0.85261,8.2721,0.86924,0.39615,0.34434
780,51,Yes,Travel_Rarely,Sales,4,4,Life Sciences,1,Male,3,1,Sales Representative,3,Married,2461,9,Yes,12,3,3,3,18,2,4,10,0,2,7,235786,0.85578,7.9841,0.87247,0.38235,0.33359
912,25,Yes,Travel_Frequently,Sales,24,1,Life Sciences,3,Male,1,1,Sales Representative,4,Single,1118,1,Yes,14,3,4,0,1,4,3,1,0,1,0,94313,0.96492,7.0299,0.98374,0.33666,0.33118
1445,56,Yes,Travel_Rarely,Sales,7,2,Technical Degree,4,Male,3,1,Sales Representative,3,Married,2339,8,No,11,3,4,1,14,4,1,10,9,9,8,266885,0.71135,9.5085,0.72522,0.45536,0.33023
481,30,Yes,Travel_Frequently,Sales,12,4,Life Sciences,2,Male,2,1,Sales Representative,1,Married,2033,1,No,18,3,3,1,1,2,4,1,0,0,0,195449,0.80871,8.0115,0.82448,0.38367,0.31632
1274,22,Yes,Travel_Rarely,Sales,8,1,Medical,3,Female,3,1,Sales Representative,1,Married,2398,1,Yes,17,3,3,0,1,6,3,1,0,0,0,220016,0.83493,7.6458,0.85121,0.36615,0.31167
